time,nb_alive,nb_infected,nb_healthy
0,46,5,41
1,46,5,41
2,46,5,41
3,46,5,41
4,46,6,40
5,47,6,41
6,47,6,41
7,47,6,41
8,47,6,41
9,47,6,41
10,47,6,41
11,47,6,41
12,47,7,40
13,47,7,40
14,47,7,40
15,47,7,40
16,47,7,40
17,47,7,40
18,47,7,40
19,47,7,40
20,47,7,40
21,47,7,40
22,47,7,40
23,47,7,40
24,47,7,40
25,47,7,40
26,47,7,40
27,47,7,40
28,48,7,41
29,48,7,41
30,48,7,41
31,48,7,41
32,48,7,41
33,48,7,41
34,48,7,41
35,48,7,41
36,49,7,42
37,49,7,42
38,50,7,43
39,50,9,41
40,50,9,41
41,50,9,41
42,50,9,41
43,50,9,41
44,50,9,41
45,50,9,41
46,50,9,41
47,50,9,41
48,50,9,41
49,50,9,41
50,50,9,41
51,50,9,41
52,50,9,41
53,50,9,41
54,50,9,41
55,50,9,41
56,50,9,41
57,50,9,41
58,50,9,41
59,50,9,41
60,50,9,41
61,50,9,41
62,50,9,41
63,50,9,41
64,50,9,41
65,50,9,41
66,50,9,41
67,50,9,41
68,50,9,41
69,50,9,41
70,50,9,41
71,50,9,41
72,50,9,41
73,50,9,41
74,50,9,41
75,50,9,41
76,50,9,41
77,50,9,41
78,50,9,41
79,50,9,41
80,50,9,41
81,50,9,41
82,50,9,41
83,50,9,41
84,50,9,41
85,50,9,41
86,50,9,41
87,50,9,41
88,50,9,41
89,50,9,41
90,50,9,41
91,50,9,41
92,50,9,41
93,50,9,41
94,50,9,41
95,50,9,41
96,50,9,41
97,50,9,41
98,50,9,41
99,50,9,41
100,50,9,41
101,50,9,41
102,50,9,41
103,50,9,41
104,50,9,41
105,50,9,41
106,50,9,41
107,50,9,41
108,50,9,41
109,50,9,41
110,50,9,41
111,50,9,41
112,50,9,41
113,51,9,42
114,51,10,41
115,51,11,40
116,51,11,40
117,51,11,40
118,51,11,40
119,51,11,40
120,51,11,40
121,51,11,40
122,51,11,40
123,51,11,40
124,51,11,40
125,51,11,40
126,51,11,40
127,51,11,40
128,51,11,40
129,51,11,40
130,52,11,41
131,52,11,41
132,52,11,41
133,52,11,41
134,52,11,41
135,52,11,41
136,52,12,40
137,52,12,40
138,52,12,40
139,53,12,41
140,53,12,41
141,53,13,40
142,53,14,39
143,53,15,38
144,53,15,38
145,53,15,38
146,53,15,38
147,53,15,38
148,53,15,38
149,53,15,38
150,53,15,38
151,53,15,38
152,53,15,38
153,53,15,38
154,53,15,38
155,53,15,38
156,53,15,38
157,53,15,38
158,53,15,38
159,53,15,38
160,53,15,38
161,53,15,38
162,53,15,38
163,53,15,38
164,53,15,38
165,53,15,38
166,53,15,38
167,53,15,38
168,53,15,38
169,53,15,38
170,53,15,38
171,54,15,39
172,54,15,39
173,54,15,39
174,54,15,39
175,54,15,39
176,54,15,39
177,54,15,39
178,54,15,39
179,54,15,39
180,54,15,39
181,54,15,39
182,54,15,39
183,55,15,40
184,55,15,40
185,55,16,39
186,55,16,39
187,55,16,39
188,55,16,39
189,55,16,39
190,55,16,39
191,55,16,39
192,55,16,39
193,55,16,39
194,55,16,39
195,55,16,39
196,55,16,39
197,55,16,39
198,55,16,39
199,55,16,39
200,55,16,39
201,55,16,39
202,55,16,39
203,55,16,39
204,55,16,39
205,55,16,39
206,55,16,39
207,55,16,39
208,55,16,39
209,55,16,39
210,55,16,39
211,55,16,39
212,55,16,39
213,55,16,39
214,55,16,39
215,55,16,39
216,55,16,39
217,56,16,40
218,56,17,39
219,56,17,39
220,56,18,38
221,57,18,39
222,57,18,39
223,57,18,39
224,57,18,39
225,57,19,38
226,57,19,38
227,57,19,38
228,57,19,38
229,57,19,38
230,57,19,38
231,57,19,38
232,57,19,38
233,57,19,38
234,57,19,38
235,57,19,38
236,57,19,38
237,57,19,38
238,57,19,38
239,57,19,38
240,57,19,38
241,57,19,38
242,57,19,38
243,57,19,38
244,57,19,38
245,57,19,38
246,57,19,38
247,57,19,38
248,57,19,38
249,57,19,38
250,57,19,38
251,57,19,38
252,57,19,38
253,57,19,38
254,57,19,38
255,57,19,38
256,57,19,38
257,57,19,38
258,57,19,38
259,57,19,38
260,57,19,38
261,57,19,38
262,57,19,38
263,57,19,38
264,57,19,38
265,57,19,38
266,57,19,38
267,57,19,38
268,57,19,38
269,57,19,38
270,57,19,38
271,57,19,38
272,57,19,38
273,57,19,38
274,57,19,38
275,57,19,38
276,57,19,38
277,57,19,38
278,57,19,38
279,57,19,38
280,57,19,38
281,57,19,38
282,57,19,38
283,57,19,38
284,57,19,38
285,57,19,38
286,57,19,38
287,57,19,38
288,57,19,38
289,57,19,38
290,57,19,38
291,57,19,38
292,57,19,38
293,57,19,38
294,57,19,38
295,57,19,38
296,57,19,38
297,57,19,38
298,57,19,38
299,57,19,38
300,57,19,38
301,57,19,38
302,57,19,38
303,57,19,38
304,58,19,39
305,58,19,39
306,58,19,39
307,58,19,39
308,58,19,39
309,59,19,40
310,59,19,40
311,59,19,40
312,59,19,40
313,59,19,40
314,59,19,40
315,59,19,40
316,59,19,40
317,59,19,40
318,59,19,40
319,59,19,40
320,59,19,40
321,59,19,40
322,59,19,40
323,59,19,40
324,59,19,40
325,59,19,40
326,60,19,41
327,60,19,41
328,60,19,41
329,60,19,41
330,60,19,41
331,60,19,41
332,60,19,41
333,60,19,41
334,60,19,41
335,60,19,41
336,60,19,41
337,60,19,41
338,60,19,41
339,60,19,41
340,60,19,41
341,60,19,41
342,60,19,41
343,60,19,41
344,60,19,41
345,60,19,41
346,60,19,41
347,60,19,41
348,60,19,41
349,60,19,41
350,60,19,41
351,60,19,41
352,60,19,41
353,60,19,41
354,60,19,41
355,60,19,41
356,60,19,41
357,60,19,41
358,60,19,41
359,60,19,41
360,60,19,41
361,60,19,41
362,60,19,41
363,60,19,41
364,60,19,41
365,60,19,41
366,60,19,41
367,60,19,41
368,60,19,41
369,60,19,41
370,60,19,41
371,60,19,41
372,60,19,41
373,60,19,41
374,60,19,41
375,60,19,41
376,60,19,41
377,60,19,41
378,60,19,41
379,60,19,41
380,60,19,41
381,60,19,41
382,60,19,41
383,60,19,41
384,60,19,41
385,61,19,42
386,61,19,42
387,61,19,42
388,61,19,42
389,61,19,42
390,61,19,42
391,61,19,42
392,61,19,42
393,61,19,42
394,61,19,42
395,62,19,43
396,62,19,43
397,62,19,43
398,62,19,43
399,62,19,43
400,62,19,43
401,62,19,43
402,63,19,44
403,63,19,44
404,63,19,44
405,63,19,44
